sep=,
DeviceTag:,RW2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2024-06-16 16:28:34.083 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status,Euler_X,Euler_Y,Euler_Z
1477,1486369450,14.839946,16.05416,-32.36001,0,-68.74909265066952,17.4565770090608,144.47948734856575
1478,1486386117,29.805752,23.460947,-38.727745,0,-81.94133957203962,31.373985121868795,132.31934277308042
1479,1486402784,61.440586,41.885826,-43.90816,0,-102.5348548332461,44.902438463284454,108.77189753657271
1480,1486419451,100.16635,39.0129,-18.173069,0,-125.60197006328485,48.16022711047002,75.85963977023629
1481,1486436118,148.1517,-10.688493,30.34959,1024,-133.65579463683588,36.04664415774534,55.32254748639248
1482,1486452785,115.709946,-41.409412,74.9283,1024,-138.57564840117305,18.03874639890425,57.50995110444465
1483,1486469452,116.37937,52.004894,52.559746,1024,-148.81574733997394,5.3982779909942264,81.05964658056786
1484,1486486119,-33.789608,110.97891,79.063736,8192,-142.09025342035926,4.4408445638944904,118.11218580211754
1485,1486502786,-115.11704,116.2736,112.54895,1024,-122.74530233202856,6.119302000869413,161.7687052785875
1486,1486519453,18.263733,118.33061,170.72734,9216,-98.15102275721506,-13.820263891451262,-166.8147283627918
1487,1486536120,-44.405514,120.89772,-110.44266,9216,-61.52782565980649,-43.913267489010344,-166.13015127763663
1488,1486552787,-30.765694,-81.45267,-214.42674,9216,-13.753420244814148,-32.5596884582819,149.16140093764474
1489,1486569454,-34.077637,-24.269743,-65.2462,1024,-54.257593497263116,-42.64071371058272,168.9254644361668
1490,1486586121,-122.43136,64.014626,64.71159,0,-75.35771720246792,-46.786735802864804,175.92972897875134
