"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.595179375E0,-2.989423501E0,-7.994578704E0,-9.178323539E0,1.253361737E1
1.605150375E0,-4.337351720E0,-8.164563110E0,-9.880201671E0,1.353111584E1
1.615121375E0,-5.576445129E0,-8.706967206E0,-1.123471853E1,1.526849432E1
1.625092375E0,-7.088883006E0,-9.516876156E0,-1.277894597E1,1.743917011E1
1.635063375E0,-7.888164641E0,-1.109613835E1,-1.381861482E1,1.939849333E1
1.645034375E0,-8.306163962E0,-1.337870189E1,-1.495094217E1,2.171434309E1
1.655005375E0,-9.478345928E0,-1.623502815E1,-1.508804066E1,2.410527228E1
1.664976375E0,-1.265083464E1,-2.012399958E1,-1.305305993E1,2.711828442E1
1.674947375E0,-1.729025761E1,-2.401627587E1,-9.151988849E0,3.097569071E1
1.684918375E0,-2.313693182E1,-2.777041753E1,-8.734950811E-1,3.615628157E1
1.694889375E0,-2.932159262E1,-3.661559186E1,8.928429329E0,4.775116974E1
1.704860375E0,-2.845819744E1,-4.967636310E1,1.423041785E1,5.899249820E1
1.714831375E0,-2.512052488E1,-5.922361729E1,1.294121439E1,6.561975804E1
1.724802375E0,-1.787442369E1,-6.141361473E1,6.974959365E0,6.434110004E1
1.734773375E0,-1.048059728E1,-6.268227809E1,-3.429538453E0,6.364489485E1
1.744744375E0,-4.149235098E0,-6.341067276E1,-1.372142007E1,6.501082172E1
1.754715375E0,4.974372536E-1,-6.000104905E1,-1.946643925E1,6.308181662E1
1.764686375E0,1.367213506E0,-5.585409612E1,-2.372638729E1,6.070000643E1
1.774657375E0,-1.865771086E0,-6.016094935E1,-2.443702747E1,6.496144426E1
1.784628375E0,-1.012076782E1,-6.074976397E1,-2.408725873E1,6.612987068E1
1.794599375E0,-1.829808370E1,-6.100223270E1,-3.070138583E1,7.070125426E1
1.804570375E0,-2.061680526E1,-7.016231702E1,-4.121850599E1,8.394503336E1
1.814541375E0,-2.795741850E1,-7.606253184E1,-3.502467675E1,8.828280682E1
1.824512375E0,-3.658883968E1,-7.707789382E1,-3.464697936E1,9.208777380E1
1.834483375E0,-3.769985509E1,-7.832655503E1,-2.184711556E1,8.963049010E1
1.844454375E0,-1.757119411E1,-7.945904843E1,-4.050989830E1,9.090401036E1
1.854425375E0,2.461795202E1,-7.746813699E1,-6.086835953E1,1.015495593E2
1.864397375E0,6.331959186E1,-3.776353361E1,-5.141471224E1,8.988285609E1
1.874368375E0,3.364187573E1,9.610629827E0,-3.663819018E1,5.066060588E1
1.884339375E0,-1.691376359E1,-3.496152273E0,-2.977485475E1,3.442151151E1
1.894310375E0,-2.670955485E1,-3.023695552E1,-2.151682506E1,4.572359960E1
1.904281375E0,-2.149501027E1,-2.673352610E1,-9.911925155E0,3.570662606E1
1.914252375E0,-1.900815788E1,-3.246988556E1,-1.319867665E1,3.987240398E1
1.924223375E0,-1.089414161E1,-4.278475988E1,-2.774442080E1,5.214375212E1
1.934194375E0,4.839758522E0,-4.092434894E1,-4.144119135E1,5.844311712E1
1.944165375E0,2.337410424E1,-3.147145477E1,-4.804714638E1,6.201072077E1
1.954136375E0,2.856363911E1,-2.325889304E1,-4.549977180E1,5.854132573E1
1.964107375E0,2.113270276E1,-1.907247842E1,-3.830404788E1,4.772369059E1
1.974078375E0,1.861450929E1,-1.943442692E1,-3.063907790E1,4.077928396E1
1.984049375E0,1.480100085E1,-2.150923070E1,-2.640717194E1,3.713563466E1
1.994020375E0,1.083678744E1,-2.027471975E1,-2.638024200E1,3.499167603E1
2.003991375E0,9.766366323E0,-1.590036627E1,-2.688235878E1,3.272407023E1
2.013962375E0,6.991000616E0,-1.002908231E1,-2.467575993E1,2.753815008E1
2.023933375E0,5.275720489E-1,-5.051770960E0,-2.119524224E1,2.179534390E1
2.033904375E0,-3.602870682E0,-2.130904309E0,-1.588655047E1,1.642875272E1
2.043875375E0,-4.789856629E0,1.960454464E-1,-1.415198330E1,1.494188046E1
2.053846375E0,-1.999486383E0,3.105947399E-1,-1.725911651E1,1.737732769E1
2.063817375E0,2.983637096E0,-1.287296101E0,-1.915358398E1,1.942727466E1
2.073788375E0,5.868759719E0,-2.483883176E0,-1.910490474E1,2.013974681E1
2.083759375E0,7.291324722E0,-4.142876251E0,-1.814994567E1,1.999368319E1
2.093730375E0,8.328144230E0,-5.807724727E0,-1.639801227E1,1.928684679E1
2.103701375E0,8.775494235E0,-5.134100926E0,-1.355874468E1,1.694720770E1
2.113672375E0,8.427951524E0,-2.921961250E0,-1.048929326E1,1.376929546E1
2.123643375E0,7.568115538E0,-3.057334233E0,-7.644439244E0,1.118307278E1
2.133614375E0,5.381763838E0,-4.513854017E0,-4.604280038E0,8.398669821E0
2.143585375E0,2.740332114E0,-4.174466418E0,-1.881976644E0,5.336424464E0
2.153556375E0,1.530555475E0,-3.430618726E0,-3.606509990E-1,3.773832806E0
2.163528375E0,1.407156420E0,-3.295566756E0,6.225770241E-1,3.637093837E0
