sep=,
DeviceTag:,RW2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2024-06-16 16:50:30.673 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
195, 2781560968, 0.72690636, -0.23233153, 0.022868915, -0.6458396, -4.1740756, 9.412077, -6.6450844, 0
196, 2781577635, 0.70739675, -0.19127183, 0.055025302, -0.6782181, -0.041988235, 14.308809, -1.2465582, 0
197, 2781594302, 0.68366706, -0.1586292, 0.08707863, -0.70700485, -0.31438294, 15.0122385, 3.2761946, 0
198, 2781610969, 0.6590034, -0.12785201, 0.11441485, -0.73231155, -2.2308626, 14.702518, 6.349291, 0
199, 2781627636, 0.6351934, -0.09680587, 0.13341032, -0.75456095, -0.37314382, 15.613238, 8.698919, 0
200, 2781644303, 0.61181146, -0.07213269, 0.14645107, -0.7739756, 4.8351583, 14.03319, 10.436739, 0
201, 2781660970, 0.5886041, -0.060484145, 0.16158134, -0.7897979, 8.756506, 8.882411, 9.323595, 0
202, 2781677637, 0.5661777, -0.05768777, 0.18169697, -0.80193746, 7.00207, 7.6762223, 8.840277, 0
203, 2781694304, 0.5457783, -0.05724048, 0.19881003, -0.81198925, 5.2655425, 8.03512, 8.467958, 0
204, 2781710971, 0.5282741, -0.05959802, 0.2113662, -0.8201838, 5.6020007, 6.1128726, 6.8727913, 0
205, 2781727638, 0.51398355, -0.06705646, 0.2221755, -0.82581156, 6.459882, 2.1759834, 3.5203657, 0
206, 2781744305, 0.5020092, -0.078896455, 0.23804268, -0.8277078, 5.9177475, -0.59118, 0.12352848, 0
207, 2781760972, 0.49206677, -0.09029505, 0.25720596, -0.8267797, 4.0186005, 0.8572649, 1.9021101, 0
208, 2781777639, 0.48515075, -0.09847813, 0.27168947, -0.82529885, 2.8906648, 0.9125996, 3.0084, 0
