sep=,
DeviceTag:,RW2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2024-06-16 16:26:42.845 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
100, 1352180428, 0.733694, 0.6096525, 0.090805255, -0.2859568, -0.9388025, 1.3373345, -0.53556347, 0
101, 1352197095, 0.7491407, 0.59203625, 0.09795104, -0.28051114, -0.51851827, 0.4378583, 0.4356203, 0
102, 1352213762, 0.76411235, 0.5740389, 0.10544437, -0.27475956, -1.4913381, -0.49242675, -2.2647886, 0
103, 1352230429, 0.7761475, 0.55878425, 0.11117197, -0.27017742, -1.1654058, -1.3355628, 0.070160866, 0
104, 1352247096, 0.7904126, 0.539795, 0.11504608, -0.26576942, 1.1541028, -0.72834426, 4.4331026, 0
105, 1352263763, 0.8101125, 0.51195616, 0.12042944, -0.25906548, 1.4518192, -0.16407415, 1.828166, 0
106, 1352280430, 0.8282988, 0.48436466, 0.12694687, -0.25138852, -1.3812894, -1.1370016, -5.349324, 0
107, 1352297097, 0.83805263, 0.46834528, 0.13226543, -0.24662904, -2.3833208, -1.8650743, -5.563113, 0
108, 1352313764, 0.8440505, 0.458019, 0.13604319, -0.24349387, -1.1613154, -0.70130855, -1.443099, 0
109, 1352330431, 0.8514599, 0.44454467, 0.14136599, -0.23960693, -0.92714417, -1.6967322, -1.347702, 0
110, 1352347098, 0.8569354, 0.43374372, 0.14582326, -0.23719932, -2.4433932, -2.823157, -3.3226018, 0
111, 1352363765, 0.8593095, 0.42747468, 0.14952146, -0.23768781, -2.828335, -3.657741, -3.7650223, 0
112, 1352380432, 0.8590069, 0.42495435, 0.15367663, -0.2406331, -2.9439714, -3.80895, -5.169015, 0
