"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.293241125E0,-4.391539621E0,-4.986879730E-1,-5.564717661E-1,4.454657200E0
2.303212125E0,-2.699920253E0,-1.296518914E0,-1.202790386E0,3.227574225E0
2.313183125E0,-3.243593194E0,-8.835289031E-1,-1.382215122E0,3.634836830E0
2.323154125E0,-4.810233006E0,2.914848697E-1,-1.055316591E0,4.933254313E0
2.333125125E0,-5.759197515E0,7.938375852E-1,-6.571773380E-1,5.850676558E0
2.343096125E0,-6.854110866E0,1.828623432E0,1.494659601E-1,7.095423841E0
2.353067125E0,-7.432163681E0,2.713265353E0,6.574270141E-1,7.939211305E0
2.363038125E0,-7.072685049E0,2.312918192E0,8.445285594E-1,7.489038179E0
2.373009125E0,-7.147630566E0,1.968220736E0,1.274048649E0,7.522347741E0
2.382980125E0,-7.261460068E0,2.017452245E0,1.703388644E0,7.726606548E0
2.392951125E0,-6.389971751E0,1.573566424E0,1.898838844E0,6.849338598E0
2.402922125E0,-6.572054046E0,1.272898209E0,1.891221092E0,6.956211717E0
2.412893125E0,-7.406508438E0,1.715466068E0,2.021231593E0,7.866674534E0
2.422865125E0,-6.971364496E0,2.096204884E0,2.048756776E0,7.562499731E0
2.432836125E0,-5.846577137E0,1.825366533E0,1.630224774E0,6.338143262E0
2.442807125E0,-4.863249126E0,1.389167461E0,1.153391208E0,5.187609235E0
2.452778125E0,-3.396810710E0,1.037111577E0,8.527449207E-1,3.652546690E0
2.462749125E0,-1.971827883E0,7.279809800E-1,1.104208157E0,2.374307723E0
2.472720125E0,-2.358996005E0,1.033694172E-1,1.365812513E0,2.727818031E0
2.482691125E0,-3.391804909E0,-2.837326312E-1,1.521596517E0,3.728283882E0
2.492662125E0,-3.518268489E0,-5.777984619E-2,1.664104711E0,3.892402363E0
2.502633125E0,-3.510568875E0,2.746744171E-1,1.423135107E0,3.798006503E0
2.512604125E0,-3.113677418E0,6.529910240E-1,1.195770804E0,3.398713309E0
2.522575125E0,-2.708570623E0,8.209946859E-1,1.085212893E0,3.031183617E0
2.532546125E0,-2.488842784E0,4.532840511E-1,1.311343068E0,2.849460559E0
2.542517125E0,-2.219108387E0,-1.304917270E-1,1.786601540E0,2.851914302E0
2.552488125E0,-2.193956004E0,-3.195140827E-1,2.151543664E0,3.089445312E0
2.562459125E0,-2.066401919E0,-3.248724711E-1,2.174157332E0,3.017038136E0
2.572430125E0,-1.497441523E0,-3.018657240E-1,1.816136996E0,2.373142983E0
2.582401125E0,-8.425504464E-1,-8.591197014E-2,1.303016925E0,1.554067318E0
2.592372125E0,-1.715005893E-1,1.903104973E-1,1.072209781E0,1.102390291E0
2.602343125E0,4.812293565E-1,3.839068374E-1,8.906432104E-1,1.082687158E0
2.612314125E0,1.075537432E0,4.191722721E-1,5.267756581E-1,1.268849382E0
2.622285125E0,1.515351545E0,4.319504848E-1,3.343660470E-1,1.610798615E0
2.632256125E0,1.829632369E0,5.143240124E-1,2.240114729E-1,1.913704506E0
2.642227125E0,2.184237932E0,6.129946071E-1,6.441292763E-2,2.269538886E0
2.652198125E0,2.502505973E0,7.086246496E-1,-2.654308462E-1,2.614409794E0
2.662169125E0,2.783759385E0,7.888291526E-1,-6.583415186E-1,2.967318874E0
2.672140125E0,3.090728851E0,8.388269395E-1,-1.166374512E0,3.408322896E0
2.682111125E0,3.512694923E0,1.057009360E0,-1.609206372E0,4.005725846E0
2.692082125E0,3.933836537E0,1.388668694E0,-1.860753590E0,4.567917968E0
2.702053125E0,4.199144007E0,1.660197601E0,-2.015619435E0,4.944874940E0
2.712024125E0,4.158915748E0,1.804354271E0,-2.082616832E0,4.988944518E0
2.721995125E0,4.085330878E0,1.885556309E0,-2.090595943E0,4.961435515E0
2.731966125E0,4.015052024E0,2.000203251E0,-2.261331131E0,5.023452427E0
2.741937125E0,3.867032683E0,2.178588937E0,-2.472943035E0,5.080909248E0
2.751908125E0,3.738505620E0,2.362172213E0,-2.650499586E0,5.155718174E0
2.761879125E0,3.761019155E0,2.561644127E0,-2.904585664E0,5.398509387E0
2.771850125E0,3.855940515E0,2.848793579E0,-3.157513994E0,5.740539760E0
